Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
View on Pavey Square,Hometeam Property Management,614-682-9207,"2265 N High St, Columbus, OH 43201",False,2018,79,https://www.apartments.com/view-on-pavey-square-columbus-oh/8ckjlq3/
The View on Fifth,Hometeam Property Management,844-396-7064,"1005 W 5th Ave, Columbus, OH 43212",False,2014,60,https://www.apartments.com/the-view-on-fifth-columbus-oh/teke7z9/
The Quinn,Wagenbrenner Professional Real Estate Services,614-796-4527,"1341 Norton Ave, Columbus, OH 43212",True,2018,153,https://www.apartments.com/the-quinn-columbus-oh/6bgnfvt/
Highline at Nine,Edwards Companies,614-808-6032,"1494 N High St, Columbus, OH 43201",True,2017,144,https://www.apartments.com/highline-at-nine-columbus-oh/4490erl/
Tribeca Apartments,Coastal Ridge Real Estate,614-763-2226,"720 W 3rd St, Columbus, OH 43212",False,2013,183,https://www.apartments.com/tribeca-apartments-columbus-oh/8zjmnx0/
The East Village,Legacy Managment Services,844-510-1754,"253 E 12th Ave, Columbus, OH 43201",True,2010,82,https://www.apartments.com/the-east-village-columbus-oh/k71s7wb/
Apartments at the Yard: Manchester,Nationwide Life Insurance Co,614-682-2510,"825 Junction Way, Grandview Heights, OH 43212",False,2017,123,https://www.apartments.com/apartments-at-the-yard-manchester-grandview-heights-oh/smv3524/
Harrison Park Apartments,Village Green,740-217-2823,"565 W 1st Ave, Columbus, OH 43215",False,2013,108,https://www.apartments.com/harrison-park-apartments-columbus-oh/dp9g79j/
"The Beeker - BRAND NEW, NOW LEASING!","Borror Properties, Inc.",844-201-3048,"115 E 5th Ave, Columbus, OH 43201",False,2019,89,https://www.apartments.com/the-beeker-brand-new-now-leasing-columbus-oh/q84qzqz/
Village West Apartments,Homestead America,614-816-2744,"884 Thurber Dr W, Columbus, OH 43215",False,1965,115,https://www.apartments.com/village-west-apartments-columbus-oh/qqb78rx/
Apartments at the Yard: Keystone,Nationwide Life Insurance Co,844-602-6316,"845 Yard St, Grandview Heights, OH 43212",False,2014,120,https://www.apartments.com/apartments-at-the-yard-keystone-grandview-heights-oh/wdrqyml/
Grant Park Apartments,Wagenbrenner Professional Real Estate Services,614-816-2513,"1298 N Grant Ave, Columbus, OH 43201",False,2018,246,https://www.apartments.com/grant-park-apartments-columbus-oh/js9vhe7/
985 High,"Borror Properties, Inc.",614-356-9453,"985 N High St, Columbus, OH 43201",True,2018,105,https://www.apartments.com/985-high-columbus-oh/bxrsjkb/
Apartments at the Yard,Nationwide Life Insurance Co,877-540-3564,"800 Baldwin Dr, Grandview Heights, OH 43212",False,2012,154,https://www.apartments.com/apartments-at-the-yard-grandview-heights-oh/f4vh6pr/
Apartments at the Yard: Brooks,Nationwide Life Insurance Co,844-530-1620,"808 Yard St, Grandview Heights, OH 43212",False,2016,166,https://www.apartments.com/apartments-at-the-yard-brooks-grandview-heights-oh/e2h446p/
New Yorker Town Houses,New Yorker Apartments,844-827-9888,"787 Thurber Dr E, Columbus, OH 43215",False,1967,60,https://www.apartments.com/new-yorker-town-houses-columbus-oh/j03f614/
600 Goodale,Kaufman Development,844-288-9862,"600 W Goodale St, Columbus, OH 43215",False,2013,174,https://www.apartments.com/600-goodale-columbus-oh/r0v1bw1/
Hubbard Park Place,Homestead America,614-515-4597,"776 Park St, Columbus, OH 43215",False,2019,101,https://www.apartments.com/hubbard-park-place-columbus-oh/pcqxz7s/
Dublin Plaza,Plaza Properties,614-347-3431,"1340-1360 Dublin Rd, Columbus, OH 43215",False,1965,108,https://www.apartments.com/dublin-plaza-columbus-oh/8cs7p42/
The Rise,"Elford Asset Management, LLC",833-683-1036,"805 Cleveland Ave, Columbus, OH 43201",False,2020,192,https://www.apartments.com/the-rise-columbus-oh/fyqjq1t/
Flats II,Nationwide Life Insurance Co,844-280-7447,"250 Brodbelt Ln, Columbus, OH 43215",False,2014,120,https://www.apartments.com/flats-ii-columbus-oh/2hprvb9/
Arlington Pointe Apartments,Coastal Ridge Real Estate,614-796-4936,"2555 Shore Line Ln, Columbus, OH 43221",False,1970,112,https://www.apartments.com/arlington-pointe-apartments-columbus-oh/gs80c4w/
Stadium View Apartments,MGI Communities,844-898-5060,"858 Kinnear Rd, Columbus, OH 43212",False,1972,48,https://www.apartments.com/stadium-view-apartments-columbus-oh/p0pl60r/
Lennox Flats,The Connor Group,614-347-3634,"815 Kinnear Rd, Columbus, OH 43212",True,2012,194,https://www.apartments.com/lennox-flats-columbus-oh/289y7n8/
Kenny Road Apartments,MGI Communities,844-885-0288,"1809-1813 Kenny Rd, Columbus, OH 43212",False,1956,49,https://www.apartments.com/kenny-road-apartments-columbus-oh/vfdjezg/
The Commons on Kinnear - Student Living,"The Pierce Company, Inc.",844-579-2538,"1150 Kinnear Rd, Columbus, OH 43212",True,2001,161,https://www.apartments.com/the-commons-on-kinnear-student-living-columbus-oh/vk79xwe/
Somerset Square Apartments,MGI Communities,844-821-5265,"1751 Kenny Rd, Columbus, OH 43212",False,2002,57,https://www.apartments.com/somerset-square-apartments-columbus-oh/vg271yf/
The View on High,Hometeam Property Management,844-330-3402,"2020 N High St, Columbus, OH 43201",True,2015,50,https://www.apartments.com/the-view-on-high-columbus-oh/gvep6rw/
The Peake,Metropolitan Holdings Limited,614-763-6811,"1295 Chesapeake Ave, Grandview Heights, OH 43212",False,2017,38,https://www.apartments.com/the-peake-grandview-heights-oh/9rwlyl4/
Grandview Village Luxury Apartments,Metropolitan Holdings Limited,614-698-7641,"1444 Chesapeake Ave, Grandview Heights, OH 43212",False,,168,https://www.apartments.com/grandview-village-luxury-apartments-grandview-heights-oh/6yqdrdr/
Luxe Belle,Preferred Living,614-368-9795,"1529 N High St, Columbus, OH 43201",True,2018,93,https://www.apartments.com/luxe-belle-columbus-oh/xe7jjmq/
Drayton Court Apartments,QuadM Properties,844-379-3824,"1459 Chambers Rd, Columbus, OH 43212",True,2005,32,https://www.apartments.com/drayton-court-apartments-columbus-oh/w67rqpl/
Apartments on Edgehill,"Elford Asset Management, LLC",614-710-0825,"1295 Edgehill Rd, Columbus, OH 43212",False,2015,105,https://www.apartments.com/apartments-on-edgehill-columbus-oh/3vcfp2e/
"Colony Square Apartments, LLC",DGB Communities,866-673-9497,"680-692 Riverview Dr, Columbus, OH 43202",True,1970,143,https://www.apartments.com/colony-square-apartments-llc-columbus-oh/4gj7j2l/
The Lane,Crawford Hoying,844-463-6977,"1600 W Lane Ave, Upper Arlington, OH 43221",False,2013,108,https://www.apartments.com/the-lane-upper-arlington-oh/y7lxf7t/
One Pearl Place,Drucker & Falk,844-845-2310,"39-45 E 8th Ave, Columbus, OH 43201",False,2017,259,https://www.apartments.com/one-pearl-place-columbus-oh/j6jb6w6/
Broadview,"Elford Asset Management, LLC",844-560-8928,"1414 Broadview Ave, Columbus, OH 43212",False,2017,64,https://www.apartments.com/broadview-columbus-oh/9ymgv45/
The Day Companies - Short North,The Day Companies,614-779-0398,"1251 Courtland Ave, Columbus, OH 43201",True,2008,24,https://www.apartments.com/the-day-companies-short-north-columbus-oh/42vcfqh/
Clintonville Apartments,Tomko Company,614-410-5062,"109 E Como Ave, Columbus, OH 43202",False,1919,12,https://www.apartments.com/clintonville-apartments-columbus-oh/s3w3b65/
Trolley Park,Legacy Managment Services,844-795-3431,"422 E 11th Ave, Columbus, OH 43201",False,2018,20,https://www.apartments.com/trolley-park-columbus-oh/xmwzcmq/
River House,Preferred Living,844-375-7044,"891 Ingleside Ave, Columbus, OH 43215",False,2019,285,https://www.apartments.com/river-house-columbus-oh/6rrff0v/
Fireproof,"Elford Asset Management, LLC",614-328-5725,"1020 N High St, Columbus, OH 43201",False,2015,56,https://www.apartments.com/fireproof-columbus-oh/e6vzx2q/
Brunner Building,The Wood Companies,614-845-4215,"936 N High St, Columbus, OH 43201",False,2018,33,https://www.apartments.com/brunner-building-columbus-oh/tn8y859/
The Hub,"Elford Asset Management, LLC",614-467-4643,"14-20 E Hubbard Ave, Columbus, OH 43215",False,2013,71,https://www.apartments.com/the-hub-columbus-oh/qz6sz7w/
Tivoli Apartments,MGI Communities,844-398-2660,"412 Thurber Dr W, Columbus, OH 43215",False,1967,88,https://www.apartments.com/tivoli-apartments-columbus-oh/rtm6s70/
The Jeffrey,JDS Companies,614-350-4540,"224 E 1st Ave, Columbus, OH 43201",True,1924,140,https://www.apartments.com/the-jeffrey-columbus-oh/yvd302t/
Iron Works on Fourth,"Elford Realty, LLC",844-540-2642,"772 N 4th St, Columbus, OH 43215",False,2019,42,https://www.apartments.com/iron-works-on-fourth-columbus-oh/vx8nxbd/
Moonglow Apartments,Charter Properties,844-896-1908,"715 Moon Rd, Columbus, OH 43224",False,1971,92,https://www.apartments.com/moonglow-apartments-columbus-oh/pd4zyjv/
University Gardens,"Windsor Capital Group, Inc.",844-419-9503,"3600 Beulah Rd, Columbus, OH 43224",False,1956,100,https://www.apartments.com/university-gardens-columbus-oh/dd1hqfh/
Wilson Place,Hometeam Property Management,614-547-3770,"15 E Lane Ave, Columbus, OH 43201",True,2018,65,https://www.apartments.com/wilson-place-columbus-oh/xvxv2jn/
Steel House,Coastal Ridge Real Estate,614-347-3405,"1211 Chambers Rd, Columbus, OH 43212",False,2018,113,https://www.apartments.com/steel-house-columbus-oh/6ys55cs/
King/Ashland,The Kingland Company,614-347-3760,"1126-1210 King Ave, Columbus, OH 43212",False,1952,64,https://www.apartments.com/king-ashland-columbus-oh/1v1c9w7/
Riverview Square,Foresite Realty,844-712-3110,"515 Riverview Dr, Columbus, OH 43202",False,1965,24,https://www.apartments.com/riverview-square-columbus-oh/79x8gfy/
Ravine Ridge Apartments,Ravine Ridge Apartments,844-695-8301,"2013 Summit St, Columbus, OH 43201",False,1967,48,https://www.apartments.com/ravine-ridge-apartments-columbus-oh/0tzsle1/
The King Apartments,Hometeam Property Management,614-591-9415,"182 King Ave, Columbus, OH 43201",True,2016,50,https://www.apartments.com/the-king-apartments-columbus-oh/qy1nwpx/
King Apartments,Homestead America,844-517-8475,"1428 King Ave, Columbus, OH 43212",False,1963,40,https://www.apartments.com/king-apartments-columbus-oh/lhqf60e/
Star King Apartments,Wagenbrenner Professional Real Estate Services,844-289-4432,"1800 North Star Ave, Columbus, OH 43212",False,1969,262,https://www.apartments.com/star-king-apartments-columbus-oh/rqp4q72/
Riverview Apartments,MGI Communities,844-528-8528,"810 Riverview Dr, Columbus, OH 43202",False,1969,149,https://www.apartments.com/riverview-apartments-columbus-oh/lmmpfjf/
The Complex,The Kingland Company,614-796-4530,"1476-1510 King Ave, Columbus, OH 43212",False,1955,48,https://www.apartments.com/the-complex-columbus-oh/5ylr9bp/
Landis OSU Campus Apartments,"Landis Properties, Ltd.",844-527-0351,"285 E 14th Ave, Columbus, OH 43201",False,1966,39,https://www.apartments.com/landis-osu-campus-apartments-columbus-oh/6lkwmsr/
Grant Commons,Wagenbrenner Professional Real Estate Services,844-238-7581,"305 E 11th Ave, Columbus, OH 43201",False,2015,90,https://www.apartments.com/grant-commons-columbus-oh/sscy7w4/
Alexandria Colony,The Mid-America Management Corporation,844-249-7429,"784 Thurber Dr W, Columbus, OH 43215",False,1964,123,https://www.apartments.com/alexandria-colony-columbus-oh/208ebv8/
The Hill,The Kingland Company,844-246-1849,"873-959 Woodhill Dr, Columbus, OH 43212",False,1959,60,https://www.apartments.com/the-hill-columbus-oh/bgdmql9/
Lykens Short North,Lykens Companies,614-908-1532,"1020 Dennison Ave, Columbus, OH 43201",True,1910,16,https://www.apartments.com/lykens-short-north-columbus-oh/9g519t7/
Sonnenblick,Oakwood Management Company,844-775-3525,"730 Thurber Dr W, Columbus, OH 43215",False,1967,78,https://www.apartments.com/sonnenblick-columbus-oh/3h3b7qe/
Thurber Gate Apartments,"Thurber Gate, LLC",844-897-9975,"684 Thurber Dr W, Columbus, OH 43215",False,1972,111,https://www.apartments.com/thurber-gate-apartments-columbus-oh/rrbhsy3/
The Diplomat,The Wood Companies,844-800-2562,"9 Buttles Ave, Columbus, OH 43215",False,1922,34,https://www.apartments.com/the-diplomat-columbus-oh/nceq6fn/
Clintonville Commons,Homestead America,855-510-7579,"4030 N High St, Columbus, OH 43214",False,1959,120,https://www.apartments.com/clintonville-commons-columbus-oh/pnbbnzv/
Arlington Heights Apartments,Kohr Royer Griffith Inc.,844-223-4804,"2201 Riverside Rd, Columbus, OH 43221",False,1970,58,https://www.apartments.com/arlington-heights-apartments-columbus-oh/b4k99n8/
1015 Concord Ave Unit A4,,614-467-4895,"1015 Concord Ave, Columbus, OH 43212",False,1970,58,https://www.apartments.com/1015-concord-ave-columbus-oh-unit-a4/7k3esrx/
127 Clinton St,,740-308-3424,"127 Clinton St, Columbus, OH 43202",False,1970,58,https://www.apartments.com/127-clinton-st-columbus-oh/40frwch/
69 E 14th Ave Unit 1A,,740-249-1391,"69 E 14th Ave, Columbus, OH 43201",False,1970,58,https://www.apartments.com/69-e-14th-ave-columbus-oh-unit-1a/wzz4zxh/
1458 Highland St,,,"1458 Highland St, Columbus, OH 43201",False,1970,58,https://www.apartments.com/1458-highland-st-columbus-oh/wcs2y3j/
206 E Hudson St Unit 206,,614-569-7709,"206 E Hudson St, Columbus, OH 43202",False,1970,58,https://www.apartments.com/206-e-hudson-st-columbus-oh-unit-206/j8p9m54/
667 Riverview Dr Unit #,,614-678-7082,"667 Riverview Dr, Columbus, OH 43202",False,1970,58,https://www.apartments.com/667-riverview-dr-columbus-oh-unit/ymbdmjv/
1825 Northwest Ct Unit B,,614-705-1802,"1825 Northwest Ct, Columbus, OH 43212",False,1970,58,https://www.apartments.com/1825-northwest-ct-columbus-oh-unit-b/5sjmfeq/
1927 Northwest Blvd,,234-203-8930,"1927 Northwest Blvd, Upper Arlington, OH 43212",False,1970,58,https://www.apartments.com/1927-northwest-blvd-upper-arlington-oh/d562svj/
84 McMillen Ave,,614-401-2368,"84 McMillen Ave, Columbus, OH 43201",False,1970,58,https://www.apartments.com/84-mcmillen-ave-columbus-oh/54edkyq/
72 McMillen Ave Unit B,,844-250-5811,"72 McMillen Ave, Columbus, OH 43201",False,1970,58,https://www.apartments.com/72-mcmillen-ave-columbus-oh-unit-b/rxztrs0/
2126 Summit St,,614-782-1336,"2126 Summit St, Columbus, OH 43201",False,1970,58,https://www.apartments.com/2126-summit-st-columbus-oh/r8wvzm2/
310 E 18th Ave Unit H,,614-655-3829,"310 E 18th Ave, Columbus, OH 43201",False,1970,58,https://www.apartments.com/310-e-18th-ave-columbus-oh-unit-h/cp4zz2e/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1004 Oregon Ave,,,"1004 Oregon Ave, Columbus, OH 43201",True,,,https://www.apartments.com/1004-oregon-ave-columbus-oh/n3n1yzm/
1372 Inglis Ave,,614-300-7528,"1372 Inglis Ave, Grandview Heights, OH 43212",False,,,https://www.apartments.com/1372-inglis-ave-grandview-heights-oh/7vpc6rz/
1136 Summit St,,740-739-9183,"1136 Summit St, Columbus, OH 43201",False,,,https://www.apartments.com/1136-summit-st-columbus-oh/djy5zyl/
1970 Suffolk Rd Unit D,,740-308-3364,"1970 Suffolk Rd, Columbus, OH 43221",False,,,https://www.apartments.com/1970-suffolk-rd-columbus-oh-unit-d/qzkdvcy/
2112 Arlington Ave Unit N/A,,614-382-0352,"2112 Arlington Ave, Upper Arlington, OH 43221",False,,,https://www.apartments.com/2112-arlington-ave-upper-arlington-oh-unit-n-a/036f1l3/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
180-188 Patterson,,,"180-188 W Patterson Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/180-188-patterson-columbus-oh/9nkcc75/
2330-2332 Neil Ave,,,"2330-2332 Neil Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/2330-2332-neil-ave-columbus-oh/e3jg01p/
118 W Oakland Ave,,,"118 W Oakland Ave, Columbus, OH 43201",False,1960,30,https://www.apartments.com/118-w-oakland-ave-columbus-oh/6dtkr7r/
2379-2381 Neil Ave,,,"2379-2381 Neil Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/2379-2381-neil-ave-columbus-oh/1xblen7/
92 W Maynard Ave,,,"92 W Maynard Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/92-w-maynard-ave-columbus-oh/4bsxzsh/
72 W Patterson Ave,,,"72 W Patterson Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/72-w-patterson-ave-columbus-oh/mcdqwkh/
79 W Maynard Ave,,,"79 W Maynard Ave, Columbus, OH 43202",False,1960,30,https://www.apartments.com/79-w-maynard-ave-columbus-oh/sl1krj5/
2240-2250 N High St,,,"2240-2250 N High St, Columbus, OH 43201",False,1960,30,https://www.apartments.com/2240-2250-n-high-st-columbus-oh/fl3hves/
2282 N High St,,,"2282 N High St, Columbus, OH 43201",False,1960,30,https://www.apartments.com/2282-n-high-st-columbus-oh/d8d2jrj/
2330-2334 N High St,,,"2330-2334 N High St, Columbus, OH 43202",False,1960,30,https://www.apartments.com/2330-2334-n-high-st-columbus-oh/1mjrll4/
,,,,,,,
Concord Square,,,"1648 Kenney Rd, Grandview Heights, OH 43212",False,2014,28,https://www.apartments.com/concord-square-grandview-heights-oh/15yvhd6/
"3 br, 1 bath Apartment - 47 Maynard ave",,,"47 E Maynard Ave, Columbus, OH 43202",False,2014,28,https://www.apartments.com/3-br-1-bath-apartment-47-maynard-ave-columbus-oh/w0p3fmk/
Royal Neil Apartments,,,"2650 Neil Ave, Columbus, OH 43202",False,1962,26,https://www.apartments.com/royal-neil-apartments-columbus-oh/qdl60bw/
2445 East Ave,,,"2445 East Ave, Columbus, OH 43202",False,1962,26,https://www.apartments.com/2445-east-columbus-oh/80pd0f0/
194 College Alley Unit #6 194 College Alley,,,"194 College Alley, Columbus, OH 43201",False,1962,26,https://www.apartments.com/194-college-alley-columbus-oh-unit-6-194-college-alley/cjgq1zg/
"3 br, 1 bath House - 2581 East Ave.",,,"2581 East Ave, Columbus, OH 43202",False,1962,26,https://www.apartments.com/3-br-1-bath-house-2581-east-ave-columbus-oh/e2f1vwp/
242 W 9th Ave,,,"242 W 9th Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/242-w-9th-ave-columbus-oh/qqdcwez/
"2 br, 1 bath Townhome - 1136 King Ave",,,"1136 King Ave, Columbus, OH 43212",False,1962,26,https://www.apartments.com/2-br-1-bath-townhome-1136-king-ave-columbus-oh/40tkwqk/
"3 br, 1 bath Apartment - 431 e 14th Avenue",,,"431 E 14th Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/3-br-1-bath-apartment-431-e-14th-avenue-columbus-oh/ccq1xff/
398 King Ave,,,"398 King Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/398-king-ave-columbus-oh/g9nyk1y/
"5 br, 1.5 bath House - 162 Northwood Ave",,,"162 E Northwood Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/5-br-15-bath-house-162-northwood-ave-columbus-oh/d72vx7h/
240-242 W 8th Ave,,,"240-242 W 8th Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/240-242-w-8th-ave-columbus-oh/snp0k14/
352 King Ave,,,"352 King Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/352-king-ave-columbus-oh/7czf5xz/
174 E Maynard Ave,,,"174 E Maynard Ave, Columbus, OH 43202",False,1962,26,https://www.apartments.com/174-e-maynard-ave-columbus-oh/grl2mnw/
1220-1234 King Ave,,,"1220-1234 King Ave, Columbus, OH 43212",False,1962,26,https://www.apartments.com/1220-1234-king-ave-columbus-oh/56n1gxm/
127-129 E Hudson St,,,"127-129 E Hudson St, Columbus, OH 43202",False,1962,26,https://www.apartments.com/127-129-e-hudson-st-columbus-oh/hk6y8n2/
80 E 13th Ave Unit A,,,"80 E 13th Ave, Columbus, OH 43201",False,1962,26,https://www.apartments.com/80-e-13th-ave-columbus-oh-unit-a/hwtnxk0/
98 E Duncan St,,,"98 E Duncan St, Columbus, OH 43202",False,1962,26,https://www.apartments.com/98-e-duncan-st-columbus-oh/p33cl5v/
1490 Kenny Rd,,,"1490 Kenny Rd, Columbus, OH 43212",False,1962,26,https://www.apartments.com/1490-kenny-rd-columbus-oh/64cnljt/
90 E 14th,,,"90 E 14th Ave, Columbus, OH 43201",False,1964,22,https://www.apartments.com/90-e-14th-columbus-oh/m4wwd0h/
220 E Lane Ave Unit 2G,,,"220 E Lane Ave, Columbus, OH 43201",False,1964,22,https://www.apartments.com/220-e-lane-ave-columbus-oh-unit-2g/9ek3hz7/
220 E Lane Ave Unit 1G,,,"220 E Lane Ave, Columbus, OH 43201",False,1964,22,https://www.apartments.com/220-e-lane-ave-columbus-oh-unit-1g/n4sbnqp/
220 E Lane Ave Unit 1A,,,"220 E Lane Ave, Columbus, OH 43201",False,1964,22,https://www.apartments.com/220-e-lane-ave-columbus-oh-unit-1a/7dvr5ty/
107-121 E 14th Ave,,,"107-121 E 14th Ave, Columbus, OH 43201",False,1964,22,https://www.apartments.com/107-121-e-14th-ave-columbus-oh/62b5e7r/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
464-482 E Norwich Ave,,,"464-482 E Norwich Ave, Columbus, OH 43201",False,1956,20,https://www.apartments.com/464-482-e-norwich-ave-columbus-oh/lhyepld/
"2 br, 1 bath Apartment - 1451 Broadview Ave.",,,"1451 Broadview Ave, Columbus, OH 43212",False,1956,20,https://www.apartments.com/2-br-1-bath-apartment-1451-broadview-ave-columbus-oh/hvhtfd0/
1404 Summit St,,,"1404 Summit St, Columbus, OH 43201",False,1956,20,https://www.apartments.com/1404-summit-st-columbus-oh/h1rrqj3/
"4 br, 2 bath Apartment - 2754 Brandon Road",,,"2754 Brandon Rd, Columbus, OH 43221",False,1956,20,https://www.apartments.com/4-br-2-bath-apartment-2754-brandon-road-columbus-oh/swtlzd4/
1359 Hollywood Pl,,,"1359 Hollywood Pl, Columbus, OH 43212",False,1956,20,https://www.apartments.com/1359-hollywood-pl-columbus-oh/07z44e2/
1368-1400 Grandview Ave,,,"1368-1400 Grandview Ave, Columbus, OH 43212",False,1956,20,https://www.apartments.com/1368-1400-grandview-ave-columbus-oh/z5zlq7w/
