Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Brownstone Apartments,,,"409 Brown St, Akron, OH 44311",False,1999,21,https://www.apartments.com/brownstone-apartments-akron-oh/gmx7h1z/
409 Brown St,,,"409 Brown St, Akron, OH 44311",False,1999,21,https://www.apartments.com/409-brown-st-akron-oh/g4x0m1y/
375 Cross Street Apt. I,,,"375 Cross St, Akron, OH 44311",False,1999,21,https://www.apartments.com/375-cross-street-apt-i-akron-oh-unit-i/67c8grr/
2 bedroom in Akron OH 44311,,,"530 Kling St, Akron, OH 44311",False,1999,21,https://www.apartments.com/2-bedroom-in-akron-oh-44311-akron-oh/72zv18y/
530 Kling St Unit Apt #1,,,"530 Kling St, Akron, OH 44311",False,1999,21,https://www.apartments.com/530-kling-st-akron-oh-unit-apt-1/8x5k8b2/
530 Kling St Unit Apt #8,,,"530 Kling St, Akron, OH 44311",False,1999,21,https://www.apartments.com/530-kling-st-akron-oh-unit-apt-8/r3e2sl1/
141 Annadale Avenue Student Room Rental,,,"141 Annadale Ave, Akron, OH 44304",False,1999,21,https://www.apartments.com/141-annadale-avenue-student-room-rental-akron-oh/be25b4b/
279 Cross Street,,,"279 Cross St, Akron, OH 44311",False,1999,21,https://www.apartments.com/279-cross-street-akron-oh/e6dkchp/
University Commons,,,"600 Sherman St, Akron, OH 44311",False,1991,36,https://www.apartments.com/university-commons-akron-oh/tl541jb/
Excelsior Apartments,,,"103-127 Dawes Ave, Akron, OH 44302",False,1919,61,https://www.apartments.com/excelsior-apartments-akron-oh/f89063r/
646 Sherman St Unit Down,,,"646 Sherman St, Akron, OH 44311",False,1919,61,https://www.apartments.com/646-sherman-st-akron-oh-unit-down/yrwf5pr/
5 bedroom in Akron OH 44304,,,"662 E Buchtel Ave, Akron, OH 44304",False,1919,61,https://www.apartments.com/5-bedroom-in-akron-oh-44304-akron-oh/2b6el29/
654 Sherman St Unit Up,,,"654 Sherman St, Akron, OH 44311",False,1919,61,https://www.apartments.com/654-sherman-st-akron-oh-unit-up/sjd9ww6/
654 Sherman St Unit DN,,,"654 Sherman St, Akron, OH 44311",False,1919,61,https://www.apartments.com/654-sherman-st-akron-oh-unit-dn/dex6hnl/
51-57 Cotter Ave,,,"51-57 Cotter Ave, Akron, OH 44305",False,1919,61,https://www.apartments.com/51-57-cotter-ave-akron-oh/9pr2r94/
3 bedroom in Akron OH 44306,,,"786 Johnston St, Akron, OH 44306",False,1919,61,https://www.apartments.com/3-bedroom-in-akron-oh-44306-akron-oh/552hyhq/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
797 E Market St,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh/484d2bj/
797 E Market St Unit 223,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-223/4kbyr2j/
797 E Market St Unit 211,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-211/1ce1jz7/
797 E Market St Unit 202,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-202/l7zl5kd/
797 E Market St Unit 205,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-205/h3dbsn1/
797 E Market St Unit 222,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-222/jgzjnl4/
797 E Market St Unit 216,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-216/yxn4g1v/
797 E Market St Unit 206,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-206/1811kq6/
797 E Market St Unit 209,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-209/002ttj0/
797 E Market St Unit 203,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-203/l4ll6te/
797 E Market St Unit 204,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-204/sbbshe7/
797 E Market St Unit 221,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-221/b83hbp8/
797 E Market St Unit 218,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-218/tfs0dbb/
797 E Market St Unit 213,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-213/kcd89m9/
797 E Market St Unit 207,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-207/v02v2wf/
797 E Market St Unit 208,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-208/4j6yvbh/
797 E Market St Unit 217,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-217/5t95h4q/
797 E Market St Unit 224,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-224/4qyyxtk/
797 E Market St Unit 210,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-210/ten0g2c/
1 bedroom in Akron OH 44305,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/1-bedroom-in-akron-oh-44305-akron-oh/f8n8crs/
797 E Market St Unit 214,,,"797 E Market St, Akron, OH 44305",False,,,https://www.apartments.com/797-e-market-st-akron-oh-unit-214/ys54c1r/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Hobart,,,"1492 Hobart Ave, Akron, OH 44306",False,1972,12,https://www.apartments.com/hobart-akron-oh/t4gsw29/
1350 N Howard St,,,"1350 N Howard St, Akron, OH 44310",False,1972,12,https://www.apartments.com/1350-n-howard-st-akron-oh/4yfdeeh/
1350 North Howard Street Unit 612,,,"1350 N Howard St, Akron, OH 44310",False,1972,12,https://www.apartments.com/1350-north-howard-street-unit-612-akron-oh/mgkzlzh/
1350 N Howard St,,,"1350 N Howard St, Akron, OH 44310",False,1972,12,https://www.apartments.com/1350-n-howard-st-akron-oh/w9qkwkl/
2154 10th St SW,,,"2154 10th St SW, Akron, OH 44314",False,1972,12,https://www.apartments.com/2154-10th-st-sw-akron-oh/cx5y3gf/
363 Tyredale ave,,,"363 Tyredale Ave, Akron, OH 44305",False,1972,12,https://www.apartments.com/363-tyredale-ave-akron-oh/4m4gvbl/
Upper Unit of a Duplex in Great Location!,,,"735 S Firestone Blvd, Akron, OH 44301",False,1972,12,https://www.apartments.com/upper-unit-of-a-duplex-in-great-location-akron-oh-unit-up/q0mzy5y/
2 bedroom in Akron OH 44301,,,"735 S Firestone Blvd, Akron, OH 44301",False,1972,12,https://www.apartments.com/2-bedroom-in-akron-oh-44301-akron-oh/xq9tqcp/
585 E Waterloo Rd,,,"585 E Waterloo Rd, Akron, OH 44319",False,1972,12,https://www.apartments.com/585-e-waterloo-rd-akron-oh/ely4qqp/
"2 br, 2 bath Apartment - 695 Frederick",,,"695 Frederick Blvd, Akron, OH 44320",False,1972,12,https://www.apartments.com/2-br-2-bath-apartment-695-frederick-akron-oh/r1s99r2/
627 Baldwin Rd,,,"627 Baldwin Rd, Akron, OH 44312",False,1972,12,https://www.apartments.com/627-baldwin-rd-akron-oh/bdlhfpc/
625 Baldwin Rd,,,"625 Baldwin Rd, Akron, OH 44312",False,1972,12,https://www.apartments.com/625-baldwin-rd-akron-oh/8004ls2/
"3 br, 1.5 bath House - 2207 SW 23rd St",,,"2207 23rd St SW, Akron, OH 44314",False,1972,12,https://www.apartments.com/3-br-15-bath-house-2207-sw-23rd-st-akron-oh/qe4ty6y/
1017-1017 Howe Ave,,,"1017-1017 Howe Ave, Cuyahoga Falls, OH 44221",False,1972,12,https://www.apartments.com/1017-1017-howe-ave-cuyahoga-falls-oh/gzygfdx/
Newton Tower Apartments,,,"370 Newton Cir, Akron, OH 44305",False,1969,79,https://www.apartments.com/newton-tower-apartments-akron-oh/6tfpqdt/
680 Loomis Ave,,,"680 Loomis Ave, Cuyahoga Falls, OH 44221",False,1969,79,https://www.apartments.com/680-loomis-ave-cuyahoga-falls-oh/80klxw0/
1757-1767 S Arlington St,,,"1757-1767 S Arlington St, Akron, OH 44306",False,1969,79,https://www.apartments.com/1757-1767-s-arlington-st-akron-oh/t61t09b/
2353 Newton St Unit A,,,"2353 Newton St, Akron, OH 44305",False,1969,79,https://www.apartments.com/2353-newton-st-akron-oh-unit-a/qgf21pz/
1809-1815 S Arlington St,,,"1809-1815 S Arlington St, Akron, OH 44306",False,1969,79,https://www.apartments.com/1809-1815-s-arlington-st-akron-oh/t6vggcc/
2375 Newton St,,,"2375 Newton St, Akron, OH 44305",False,1969,79,https://www.apartments.com/2375-newton-st-akron-oh/51mhqcn/
"2 br, 1 bath House - 614 Sill Ave.",,,"614 Sill Ave, Cuyahoga Falls, OH 44221",False,1969,79,https://www.apartments.com/2-br-1-bath-house-614-sill-ave-cuyahoga-falls-oh/1lqm8b4/
169 W Overdale Dr,,,"169 W Overdale Dr, Tallmadge, OH 44278",False,1969,79,https://www.apartments.com/169-w-overdale-dr-tallmadge-oh/s2gjvm6/
1436 Buckingham Gate Blvd,,,"1436 Buckingham Gate Blvd, Cuyahoga Falls, OH 44221",False,1969,79,https://www.apartments.com/1436-buckingham-gate-blvd-cuyahoga-falls-oh/7ehvwpz/
Tallmadge Road Lofts,,,"526-530 Tallmadge Rd, Cuyahoga Falls, OH 44221",False,1977,19,https://www.apartments.com/tallmadge-road-lofts-cuyahoga-falls-oh/wxhst2l/
Redwood Akron,,,"1738 Northampton Rd, Akron, OH 44313",False,2001,95,https://www.apartments.com/redwood-akron-akron-oh/b5d0lcb/
2452 23rd St,,,"2452 23rd St, Cuyahoga Falls, OH 44223",False,2001,95,https://www.apartments.com/2452-23rd-st-cuyahoga-falls-oh/28zjq39/
509 Zahn Dr,,,"509 Zahn Dr, Akron, OH 44313",False,2001,95,https://www.apartments.com/509-zahn-dr-akron-oh/zpvkbey/
598 Treeside Dr Unit B,,,"598 Treeside Dr, Akron, OH 44313",False,2001,95,https://www.apartments.com/598-treeside-dr-akron-oh-unit-b/0brlyd0/
2 bedroom in Akron OH 44313,,,"1695 Dominion Dr, Akron, OH 44313",False,2001,95,https://www.apartments.com/2-bedroom-in-akron-oh-44313-akron-oh/38p40cd/
1695 Dominion Dr Unit 5,,,"1695 Dominion Dr, Akron, OH 44313",False,2001,95,https://www.apartments.com/1695-dominion-dr-akron-oh-unit-5/56n7mfn/
1740 Cromwell dr,,,"1740 Cromwell Dr, Akron, OH 44313",False,2001,95,https://www.apartments.com/1740-cromwell-dr-akron-oh-unit-1740-5/dbe0rej/
367 sieber,,,"367 Sieber Ave, Akron, OH 44312",False,2001,95,https://www.apartments.com/367-sieber-akron-oh/r5k0v82/
1694-1710 Dominion Dr,,,"1694-1710 Dominion Dr, Akron, OH 44313",False,1969,35,https://www.apartments.com/1694-1710-dominion-dr-akron-oh/b5ybsrb/
45 Cathedral Ln,,,"45 Cathedral Ln, Cuyahoga Falls, OH 44223",False,1969,35,https://www.apartments.com/45-cathedral-ln-cuyahoga-falls-oh/76txxwz/
"3 br, 2 bath Apartment - 3123 Don Dr",,,"3123 Don Dr, Akron, OH 44319",False,1969,35,https://www.apartments.com/3-br-2-bath-apartment-3123-don-dr-akron-oh/6q8gn3t/
2567 2nd St Unit #2,,,"2567 2nd St, Cuyahoga Falls, OH 44221",False,1969,35,https://www.apartments.com/2567-2nd-st-cuyahoga-falls-oh-unit-2/rrn1r12/
College Street Apartments,,,"53 S College St, Akron, OH 44308",False,1952,14,https://www.apartments.com/college-street-apartments-akron-oh/xny28nq/
353 Grant St,,,"353 Grant St, Akron, OH 44311",False,1969,12,https://www.apartments.com/353-grant-st-akron-oh/pxlvder/
389 Sherman St,,,"389 Sherman St, Akron, OH 44311",False,1983,,https://www.apartments.com/389-sherman-st-akron-oh/tv6xtcc/
Sumner Hall Apartments,,,"430 Sumner St, Akron, OH 44304",False,1967,11,https://www.apartments.com/sumner-hall-apartments-akron-oh/1m4gjc4/
DEMOLISHED,,,"353 Grant St, Akron, OH 44311",False,1969,70,https://www.apartments.com/demolished-akron-oh/28sr759/
450 Sumner St,,,"450 Sumner St, Akron, OH 44304",False,1926,,https://www.apartments.com/450-sumner-st-akron-oh/pn708gt/
431 Sherman St,,,"431 Sherman St, Akron, OH 44311",False,1978,10,https://www.apartments.com/431-sherman-st-akron-oh/5h6ps5p/
470-472 Sumner St,,,"470-472 Sumner St, Akron, OH 44304",False,,,https://www.apartments.com/470-472-sumner-st-akron-oh/qkp5dqz/
478 Orchard St,,,"478 Orchard St, Akron, OH 44304",True,1981,12,https://www.apartments.com/478-orchard-st-akron-oh/6r360kr/
Vine Street Apartments,,,"503-505 Vine St, Akron, OH 44304",True,1981,34,https://www.apartments.com/vine-street-apartments-akron-oh/mt1bxfk/
460-462 Allyn St,,,"460-462 Allyn St, Akron, OH 44304",False,1894,,https://www.apartments.com/460-462-allyn-st-akron-oh/k5yx179/
24 N Union St,,,"24 N Union St, Akron, OH 44304",False,1890,,https://www.apartments.com/24-n-union-st-akron-oh/4kmtztj/
Marjorie Ruth Thomas Harvest Home,,,"24 N Prospect St, Akron, OH 44304",False,1989,,https://www.apartments.com/marjorie-ruth-thomas-harvest-home-akron-oh/gme22ez/
Fountain View Apartments,,,"508 E Buchtel Ave, Akron, OH 44304",False,1972,23,https://www.apartments.com/fountain-view-apartments-akron-oh/z6p61kz/
Carroll Street Apartments,,,"525 Carroll St, Akron, OH 44304",False,1972,17,https://www.apartments.com/carroll-street-apartments-akron-oh/s6wbl65/
Spicertown,,,"391-403 Spicer St, Akron, OH 44311",False,1909,15,https://www.apartments.com/spicertown-akron-oh/l4z03qe/
233 Irisdale Pl,,,"233 Irisdale Pl, Akron, OH 44311",False,1988,12,https://www.apartments.com/233-irisdale-pl-akron-oh/b41npj8/
47 Jeanette Ct,,,"47 Jeanette Ct, Akron, OH 44308",False,1916,,https://www.apartments.com/47-jeanette-ct-akron-oh/v1n676d/
49 Jeanette Ct,,,"49 Jeanette Ct, Akron, OH 44308",False,1916,,https://www.apartments.com/49-jeanette-ct-akron-oh/tmr34fb/
576 Carroll St,,,"576 Carroll St, Akron, OH 44304",False,1900,12,https://www.apartments.com/576-carroll-st-akron-oh/b9qnk69/
Cross Street Apartments,,,"375 Cross St, Akron, OH 44311",True,1978,21,https://www.apartments.com/cross-street-apartments-akron-oh/thvnrcb/
572 E Buchtel Ave,,,"572 E Buchtel Ave, Akron, OH 44304",False,,,https://www.apartments.com/572-e-buchtel-ave-akron-oh/hf8sbt3/
Spicer Street Apartments,,,"461 Spicer St, Akron, OH 44311",False,1981,25,https://www.apartments.com/spicer-street-apartments-akron-oh/91xlpw4/
111 W State St,,,"111 W State St, Akron, OH 44302",False,1969,24,https://www.apartments.com/111-w-state-st-akron-oh/twr29bc/
110 N College St,,,"110 N College St, Akron, OH 44304",False,1971,,https://www.apartments.com/110-n-college-st-akron-oh/trwct68/
557-567 Sherman St,,,"557-567 Sherman St, Akron, OH 44311",False,2003,,https://www.apartments.com/557-567-sherman-st-akron-oh/q8fyw6x/
592 Carroll St,,,"592 Carroll St, Akron, OH 44304",False,1984,,https://www.apartments.com/592-carroll-st-akron-oh/fsje52v/
Spicer Terrace,,,"502 Spicer St, Akron, OH 44311",False,1969,21,https://www.apartments.com/spicer-terrace-akron-oh/pkztn2r/
292 Cross St,,,"292 Cross St, Akron, OH 44311",False,,18,https://www.apartments.com/292-cross-st-akron-oh/f3cy8ns/
East Buchtel Place,,,"591 E Buchtel Ave, Akron, OH 44304",False,1979,21,https://www.apartments.com/east-buchtel-place-akron-oh/b7w2578/
544 Brown St,,,"544 Brown St, Akron, OH 44311",False,1926,,https://www.apartments.com/544-brown-st-akron-oh/md1hfyk/
Lewis Apartments,,,"142 King Dr, Akron, OH 44302",False,1986,,https://www.apartments.com/lewis-apartments-akron-oh/tz3gz4c/
550 Brown St,,,"550 Brown St, Akron, OH 44311",False,1926,,https://www.apartments.com/550-brown-st-akron-oh/kv324r9/
