Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
The Station at Manayunk,"J.G. Petrucci Co., Inc.",855-486-3356,"1 Parker Ave, Philadelphia, PA 19128",False,2014,149,https://www.apartments.com/the-station-at-manayunk-philadelphia-pa/ncwv55n/
Kardon,PMC Property Group,844-225-1926,"1801-1851 N 10th St, Philadelphia, PA 19122",False,1911,241,https://www.apartments.com/kardon-philadelphia-pa/xhevqzm/
Vantage,Asset Living,855-343-7617,"1120 Cecil B. Moore Ave, Philadelphia, PA 19122",True,2019,368,https://www.apartments.com/vantage-philadelphia-pa/6pv4stt/
Park Heights Apartments,Park Heights,844-224-2768,"5555 Wissahickon Ave, Philadelphia, PA 19144",False,1959,264,https://www.apartments.com/park-heights-apartments-philadelphia-pa/l3l449d/
Falls Bridge Lofts,Stonehenge Advisors Inc.,267-520-3396,"4328 Ridge Ave, Philadelphia, PA 19129",False,2017,46,https://www.apartments.com/falls-bridge-lofts-philadelphia-pa/vwnwvqe/
The Fairmount @ Brewerytown,Scully Company,215-372-1181,"1363 N 31st St, Philadelphia, PA 19121",False,2016,161,https://www.apartments.com/the-fairmount-brewerytown-philadelphia-pa/sdk4z77/
The Flats at 31 Brewerytown,Westrum Development Company,215-874-3627,"3100 W Thompson St, Philadelphia, PA 19121",False,2014,114,https://www.apartments.com/the-flats-at-31-brewerytown-philadelphia-pa/mhxt3vl/
Lofts 640,EB Realty Management Corp,866-662-6012,"640 N Broad St, Philadelphia, PA 19130",False,2006,265,https://www.apartments.com/lofts-640-philadelphia-pa/bwg3mxc/
Stable Lofts,North Broad Living Management,844-524-0264,"631 N Broad St, Philadelphia, PA 19123",False,2019,41,https://www.apartments.com/stable-lofts-philadelphia-pa/tzp3cnc/
Green Street Apartments,Altman Management Company,844-229-3461,"2113 Green St, Philadelphia, PA 19130",False,1920,54,https://www.apartments.com/green-street-apartments-philadelphia-pa/h9h3jz0/
Dalian on the Park,The Bozzuto Group,844-522-3991,"501 N 22nd St, Philadelphia, PA 19130",False,2016,293,https://www.apartments.com/dalian-on-the-park-philadelphia-pa/n3k3jhm/
Rock Hill Apartments,The Galman Group,215-874-0711,"205-215 Rock St, Philadelphia, PA 19128",False,1962,97,https://www.apartments.com/rock-hill-apartments-philadelphia-pa/nzcsd7q/
Greene Manor,Kettler,844-861-9139,"239-259 W Johnson St, Philadelphia, PA 19144",False,1955,378,https://www.apartments.com/greene-manor-philadelphia-pa/91kmnx6/
Lofts at Logan View,Greystar,215-989-4195,"1666-1666 Callowhill St, Philadelphia, PA 19130",False,1903,105,https://www.apartments.com/lofts-at-logan-view-philadelphia-pa/60qcywt/
One Franklin Town,Brookfield Properties Multifamily LLC,844-276-2303,"1 Franklin Town Blvd, Philadelphia, PA 19103",False,1987,335,https://www.apartments.com/one-franklin-town-philadelphia-pa/pn45x3s/
Franklin Tower Residences,PMC Property Group,844-257-9541,"200 N 16th St, Philadelphia, PA 19102",True,2019,549,https://www.apartments.com/franklin-tower-residences-philadelphia-pa/zxjdetx/
The Arch,"Alterra Property Group, LLC (“Alterra”)",844-649-2783,"1701 Arch St, Philadelphia, PA 19103",False,2012,114,https://www.apartments.com/the-arch-philadelphia-pa/vgc74ng/
The Lofts at 1835 Arch,Brookfield Properties Multifamily LLC,844-731-1049,"1835 Arch St, Philadelphia, PA 19103",False,2000,193,https://www.apartments.com/the-lofts-at-1835-arch-philadelphia-pa/2e1byf8/
the metropolitan bala,Metropolitan Management Corporation,215-687-4695,"2746 Belmont Ave, Philadelphia, PA 19131",True,1963,140,https://www.apartments.com/the-metropolitan-bala-philadelphia-pa/h9lewm1/
218 Arch Street,PMC Property Group,844-320-7836,"218 Arch St, Philadelphia, PA 19106",False,2018,144,https://www.apartments.com/218-arch-street-philadelphia-pa/wbqdzvk/
Bromley House,Lindy Property,267-297-1713,"6901-6907 Old York Rd, Philadelphia, PA 19126",False,1963,210,https://www.apartments.com/bromley-house-philadelphia-pa/2kczhhc/
Pelham Court Apartments,Rushmore Management,267-297-3250,"6803 Emlen St, Philadelphia, PA 19119",False,1928,92,https://www.apartments.com/pelham-court-apartments-philadelphia-pa/v2pbmwf/
THE GRIFFIN CENTER CITY,Greystar,844-384-8525,"1338-1348 Chestnut St, Philadelphia, PA 19107",False,2015,217,https://www.apartments.com/the-griffin-center-city-philadelphia-pa/7d7rbbx/
Vista,Greystar,844-264-0974,"2805 N 47th St, Philadelphia, PA 19131",False,1968,133,https://www.apartments.com/vista-philadelphia-pa/kybykf8/
THE SANSOM,Pantzer Properties,844-891-2280,"1605 Sansom St, Philadelphia, PA 19103",False,2013,104,https://www.apartments.com/the-sansom-philadelphia-pa/kd91bx8/
The Republic,Greystar,856-432-4241,"1930 Chestnut St, Philadelphia, PA 19103",False,1920,145,https://www.apartments.com/the-republic-philadelphia-pa/vv2dfge/
1213 Walnut,The Bozzuto Group,240-398-3581,"1213 Walnut St, Philadelphia, PA 19107",False,2017,322,https://www.apartments.com/1213-walnut-philadelphia-pa/851yr90/
2116 Chestnut,Greystar,844-307-3268,"2116 Chestnut St, Philadelphia, PA 19103",False,2013,323,https://www.apartments.com/2116-chestnut-philadelphia-pa/w8xrmsk/
Icon,Scully Company,844-810-7183,"1616 Walnut St, Philadelphia, PA 19103",False,2014,206,https://www.apartments.com/icon-philadelphia-pa/6d31ljs/
1700 Walnut Street,Turchi Inc.,888-548-7427,"1700 Walnut St, Philadelphia, PA 19103",False,1925,68,https://www.apartments.com/1700-walnut-street-philadelphia-pa/6x57ykt/
1500 Locust,The Bozzuto Group,877-870-5076,"1500-1514 Locust St, Philadelphia, PA 19102",False,1972,612,https://www.apartments.com/1500-locust-philadelphia-pa/y9hc9sv/
222 Rittenhouse,Sentinel Real Estate Corporation,844-670-2756,"222 W Rittenhouse Sq, Philadelphia, PA 19103",False,1925,101,https://www.apartments.com/222-rittenhouse-philadelphia-pa/tfkv6e8/
Furnished Rittenhouse Square One Bedroom,250 S 17th St,757-690-7092,"250 S 17th St, Philadelphia, PA 19103",True,1920,,https://www.apartments.com/furnished-rittenhouse-square-one-bedroom-philadelphia-pa/9s86gs4/
AKA University City,Korman Communities,844-233-1886,"2929 Walnut St, Philadelphia, PA 19104",False,2016,135,https://www.apartments.com/aka-university-city-philadelphia-pa/5r4q7dn/
Wynnefield Terrace,"Woodward Properties, Inc.",844-284-6689,"4991 Parkside Ave N, Philadelphia, PA 19131",False,1947,120,https://www.apartments.com/wynnefield-terrace-philadelphia-pa/58e24zq/
11 Cooper,The Michaels Organization,844-208-0532,"11 Cooper St, Camden, NJ 08102",False,2019,156,https://www.apartments.com/11-cooper-camden-nj/tgslg68/
The Drake,Brookfield Properties Multifamily LLC,844-523-6582,"1512 Spruce St, Philadelphia, PA 19102",False,1930,284,https://www.apartments.com/the-drake-philadelphia-pa/k2h3vzb/
The Axis,Altman Management Company,267-443-1952,"20 S 36th St, Philadelphia, PA 19104",True,1925,165,https://www.apartments.com/the-axis-philadelphia-pa/lwqxhqd/
Head House Flats-Abbotts Square,EB Realty Management Corp,844-530-0739,"528 S 2nd St, Philadelphia, PA 19147",True,2016,47,https://www.apartments.com/head-house-flats-abbotts-square-philadelphia-pa/hmw1n80/
Sedgwick Station,The Galman Group,267-984-4927,"303 E Mt Pleasant Ave, Philadelphia, PA 19119",False,1960,93,https://www.apartments.com/sedgwick-station-philadelphia-pa/xvqmnqm/
Oxford House Apartments,Rushmore Management,844-314-5874,"6451-6461 Oxford Ave, Philadelphia, PA 19111",False,1960,207,https://www.apartments.com/oxford-house-apartments-philadelphia-pa/b0sj6x9/
Congress Hall,Woodlake Management,844-207-3105,"5001-5023 Erringer Pl, Philadelphia, PA 19144",False,1960,71,https://www.apartments.com/congress-hall-philadelphia-pa/mn265xk/
Paseo Verde South,Altman Management Company,215-600-2256,"1950 N 9th St, Philadelphia, PA 19122",False,2013,120,https://www.apartments.com/paseo-verde-south-philadelphia-pa/1x6hct5/
The Willows at Wissahickon,Ingerman,844-235-5887,"549 Manheim St, Philadelphia, PA 19144",True,1990,228,https://www.apartments.com/the-willows-at-wissahickon-philadelphia-pa/t0thpz9/
Hagert Lofts,Odin Properties,215-839-0853,"1821 E Hagert St, Philadelphia, PA 19125",False,2017,54,https://www.apartments.com/hagert-lofts-philadelphia-pa/kyh9jbc/
Birchwood Hill Apartments,Altman Management Company,844-300-5402,"5115 Wissahickon Ave, Philadelphia, PA 19144",False,1966,78,https://www.apartments.com/birchwood-hill-apartments-philadelphia-pa/qz5nzpx/
Scotts Mills,Odin Properties,267-787-6893,"3510-3530 Scotts Ln, Philadelphia, PA 19129",False,1940,111,https://www.apartments.com/scotts-mills-philadelphia-pa/zcppnly/
Carlton Park,Kettler,844-793-5202,"2920 Midvale Ave, Philadelphia, PA 19129",False,1942,117,https://www.apartments.com/carlton-park-philadelphia-pa/30psygg/
The Brownstones at Diamond Street,Pennrose Management Company,267-592-3718,"3200 W Diamond St, Philadelphia, PA 19121",False,1928,49,https://www.apartments.com/the-brownstones-at-diamond-street-philadelphia-pa/v2fe77g/
Cloverly Park Apartments,The Quaker Group,215-268-6038,"437-445 W School House Ln, Philadelphia, PA 19144",True,1920,52,https://www.apartments.com/cloverly-park-apartments-philadelphia-pa/74bb81y/
The Umbrella Building,Core Realty,609-299-1833,"1401 N 5th St, Philadelphia, PA 19122",True,2018,181,https://www.apartments.com/the-umbrella-building-philadelphia-pa/pr88lzt/
Apartments @ 1220,Pintzuk Brown Realty Group,844-713-3267,"1220-1246 N Broad St, Philadelphia, PA 19121",True,1940,294,https://www.apartments.com/apartments-1220-philadelphia-pa/p17l0zr/
Hathaway House,Scully Company,267-297-0028,"515 W Chelten Ave, Philadelphia, PA 19144",False,1968,138,https://www.apartments.com/hathaway-house-philadelphia-pa/kst7mfc/
The Grand Corinthian,JG Real Estate,844-369-7344,"909 Corinthian Ave, Philadelphia, PA 19130",False,1911,22,https://www.apartments.com/the-grand-corinthian-philadelphia-pa/nvmrrnm/
The Becker Building,Core Realty,267-592-3667,"1151-1161 N 3rd St, Philadelphia, PA 19123",False,2007,40,https://www.apartments.com/the-becker-building-philadelphia-pa/tzs41rb/
The Lofts at Brewerytown,Pennrose Management Company,844-685-8360,"3000 W Master St, Philadelphia, PA 19121",False,2005,61,https://www.apartments.com/the-lofts-at-brewerytown-philadelphia-pa/l5tyhzd/
Divine Lorraine,EB Realty Management Corp,215-583-3298,"699 N Broad St, Philadelphia, PA 19123",False,1894,101,https://www.apartments.com/divine-lorraine-philadelphia-pa/vf4tx5e/
Four Freedoms House- Seniors 62 yrs and older,"Prudent Property Managers, Inc.",215-399-1029,"6101 Morris St, Philadelphia, PA 19144",False,1965,282,https://www.apartments.com/four-freedoms-house-seniors-62-yrs-and-older-philadelphia-pa/9x9g5e6/
Greenbriar Club Apartments,"Sigma Management Co., Inc",877-478-2749,"3901 Conshohocken Ave, Philadelphia, PA 19131",False,1970,346,https://www.apartments.com/greenbriar-club-apartments-philadelphia-pa/fvhvnwr/
Mural Lofts,EB Realty Management Corp,844-475-9022,"523 N Broad St, Philadelphia, PA 19123",True,2015,59,https://www.apartments.com/mural-lofts-philadelphia-pa/1ln4mn6/
Copley Manor Apartments,Northwest Philadelphia Real Estate Services,267-297-4849,"121-123 W Tulpehocken St, Philadelphia, PA 19144",False,1929,93,https://www.apartments.com/copley-manor-apartments-philadelphia-pa/nset86q/
Academia Suites,Lindy Property,844-213-5625,"1100 W Godfrey St, Philadelphia, PA 19141",True,1965,112,https://www.apartments.com/academia-suites-philadelphia-pa/bt3shz9/
Stevenson Terrace Apartments,Altman Management Company,215-987-6527,"6201 N 10th St, Philadelphia, PA 19141",False,1967,148,https://www.apartments.com/stevenson-terrace-apartments-philadelphia-pa/1pnzge4/
NORTHxNORTHWEST - Northwest Tower,Brookfield Properties Multifamily LLC,267-463-2843,"500 N 18th St, Philadelphia, PA 19130",False,1987,286,https://www.apartments.com/northxnorthwest-northwest-tower-philadelphia-pa/4wlm53l/
Phillip Murray House,"Prudent Property Managers, Inc.",215-395-8363,"6300 Old York Rd, Philadelphia, PA 19141",False,,316,https://www.apartments.com/phillip-murray-house-philadelphia-pa/gjvc95z/
The Packard Motor Car Building,Reinhold Residential,215-989-4182,"317-321 N Broad St, Philadelphia, PA 19107",False,1925,151,https://www.apartments.com/the-packard-motor-car-building-philadelphia-pa/561epbq/
Hillside Garden,Mathias Deutsch,844-702-9114,"6060 Crescentville Rd, Philadelphia, PA 19120",False,1969,200,https://www.apartments.com/hillside-garden-philadelphia-pa/yqxjmkr/
Walnut Court Apartments,Chelsea Management,844-269-1503,"685 W Walnut Ln, Philadelphia, PA 19144",False,1949,28,https://www.apartments.com/walnut-court-apartments-philadelphia-pa/gmny23z/
The Lofts at 509 Vine,Stonehenge Advisors Inc.,844-210-9479,"509 Vine St, Philadelphia, PA 19106",False,1929,44,https://www.apartments.com/the-lofts-at-509-vine-philadelphia-pa/zy4wx0z/
Penn's View,"Brandywine Construction & Management, Inc.",844-475-3069,"303 Vine St, Philadelphia, PA 19106",False,1901,51,https://www.apartments.com/penns-view-philadelphia-pa/xkhzb9p/
Manayunk Garden Apartments,Altman Management Company,844-547-3603,"3901 Manayunk Ave, Philadelphia, PA 19128",False,1965,105,https://www.apartments.com/manayunk-garden-apartments-philadelphia-pa/jz2t5g4/
