Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Lakeview Senior Apartments,Clover Group Inc.,937-900-0534,"2475 Lillian Ln, Beavercreek, OH 45431",False,2019,100,https://www.apartments.com/lakeview-senior-apartments-beavercreek-oh/09m04b3/
Colonial Village,Dutton LLC,937-343-4416,"614 Bueno Ct, Dayton, OH 45431",False,1965,163,https://www.apartments.com/colonial-village-dayton-oh/fzxjhcv/
East Pointe Apartments,Denizen Management,844-825-2071,"743 Old Harshman Rd, Dayton, OH 45431",False,1971,60,https://www.apartments.com/east-pointe-apartments-dayton-oh/1651955/
Riverside Commons Apartments,Wallick Communities,937-715-0633,"2581 Tidewater Dr, Dayton, OH 45424",False,1997,120,https://www.apartments.com/riverside-commons-apartments-dayton-oh/z64dc1z/
905 Glendean Ave Unit 9,,937-552-2898,"905 Glendean Ave, Dayton, OH 45431",False,1997,120,https://www.apartments.com/905-glendean-ave-dayton-oh-unit-9/r8pfgn0/
616 South Smithville Road Unit 616,,209-326-1015,"616 South Smithville Road, Dayton, OH 45403",False,1997,120,https://www.apartments.com/616-south-smithville-road-dayton-oh-unit-616/ymdmlqs/
Lovely Four Bedroom in Fairborn!,,,"2385 Fieldstone Cir, Fairborn, OH 45324",False,1997,120,https://www.apartments.com/lovely-four-bedroom-in-fairborn-fairborn-oh/s0r5t05/
281-311 Orville St,,,"281-311 Orville St, Fairborn, OH 45324",False,1997,120,https://www.apartments.com/281-311-orville-st-fairborn-oh/7064t9x/
3847 Taft Ave,,,"3847 Taft Ave, Dayton, OH 45431",False,1997,120,https://www.apartments.com/3847-taft-ave-dayton-oh/3lp639d/
1527-1529 Miami Ave,,,"1527-1529 Miami Ave, Fairborn, OH 45324",False,1997,120,https://www.apartments.com/1527-1529-miami-ave-fairborn-oh/wz9qmch/
246 Forest St,,,"246 Forest St, Fairborn, OH 45324",False,1997,120,https://www.apartments.com/246-forest-st-fairborn-oh/2rj86q9/
Gorgeous 4 Bed Beavercreek Ranc,,,"3789 Olde Willow Dr, Dayton, OH 45431",False,1997,120,https://www.apartments.com/gorgeous-4-bed-beavercreek-ranc-dayton-oh/yhptw3t/
Garland Court Apartments,,,"332 W Garland Ave, Fairborn, OH 45324",False,1965,64,https://www.apartments.com/garland-court-apartments-fairborn-oh/s3p3vf4/
3502 Winterwood Drive,,,"3502 Winterwood Dr, Dayton, OH 45424",False,1965,64,https://www.apartments.com/3502-winterwood-drive-dayton-oh/hvg5ng0/
725 Preservation Street,,,"725 Preservation St, Fairborn, OH 45324",False,1965,64,https://www.apartments.com/725-preservation-street-fairborn-oh/z2g2zwz/
406 Cedar Dr,,,"406 Cedar Dr, Fairborn, OH 45324",False,1965,64,https://www.apartments.com/406-cedar-dr-fairborn-oh/25m6qsb/
"5 br, 2.5 bath House - 5786 Redbird Court",,,"5786 Redbird Ct, Dayton, OH 45431",False,1965,64,https://www.apartments.com/5-br-25-bath-house-5786-redbird-court-dayton-oh/yqrbxvt/
701 Winston Dr,,,"701 Winston Dr, Fairborn, OH 45324",False,1965,64,https://www.apartments.com/701-winston-dr-fairborn-oh/pp2507v/
Bungalow in Riverside!,,,"3650 Teaberry Dr, Dayton, OH 45424",False,1965,64,https://www.apartments.com/bungalow-in-riverside-dayton-oh/kjctvv8/
6209 Wellington Place,,,"6209 Wellington Pl, Huber Heights, OH 45424",False,1965,64,https://www.apartments.com/6209-wellington-place-huber-heights-oh/ld13xde/
4230 Arrowrock Ave,,,"4230 Arrowrock Ave, Dayton, OH 45424",False,1965,64,https://www.apartments.com/4230-arrowrock-ave-dayton-oh/nf6eh6m/
2333 Harshman Rd,,,"2333 Harshman Rd, Dayton, OH 45424",False,1965,64,https://www.apartments.com/2333-harshman-rd-dayton-oh/h965r41/
2333 Harshman Rd,,,"2333 Harshman Rd, Dayton, OH 45424",False,1965,64,https://www.apartments.com/2333-harshman-rd-dayton-oh/zwhh5yw/
420 N Cherrywood Ave,,,"420 N Cherrywood Ave, Dayton, OH 45403",False,1965,64,https://www.apartments.com/420-n-cherrywood-ave-dayton-oh/kwmknh8/
6929 Spritz Lane,,,"6929 Spritz Ln, Huber Heights, OH 45424",False,1965,64,https://www.apartments.com/6929-spritz-lane-huber-heights-oh/3emcs5f/
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Woods Halls,,,"1239-1287 Springwood Ln, Fairborn, OH 45324",False,1993,151,https://www.apartments.com/woods-halls-fairborn-oh/fhf488v/
The Village,,,"2030-2050 Village Dr, Fairborn, OH 45324",False,1993,144,https://www.apartments.com/the-village-fairborn-oh/33fckbd/
Wright State - Honors Community,,,"2100 Zink Rd, Fairborn, OH 45324",False,2005,399,https://www.apartments.com/wright-state-honors-community-fairborn-oh/sdtn0t5/
Wright State - College Park,,,"2060-2090 Zink Rd, Fairborn, OH 45324",False,1993,240,https://www.apartments.com/wright-state-college-park-fairborn-oh/1qgrm55/
Rockdell Place Student Housing,,,"3800 Colonel Glenn Hwy, Fairborn, OH 45324",False,2008,96,https://www.apartments.com/rockdell-place-student-housing-fairborn-oh/4112ftk/
1431-1437 Forest Ln,,,"1431-1437 Forest Ln, Fairborn, OH 45324",False,,,https://www.apartments.com/1431-1437-forest-ln-fairborn-oh/m7mjrkk/
1420 Forest Ln,,,"1420 Forest Ln, Fairborn, OH 45324",False,1979,,https://www.apartments.com/1420-forest-ln-fairborn-oh/cefe5fg/
1935 Zimmerman Rd,,,"1935 Zimmerman Rd, Fairborn, OH 45324",False,1940,,https://www.apartments.com/1935-zimmerman-rd-fairborn-oh/edm4y8q/
University Suites,,,"2439-2479 Zink Rd, Beavercreek, OH 45324",False,2009,34,https://www.apartments.com/university-suites-beavercreek-oh/lv8t65f/
Emma Apartments,,,"663 W Patterson St, Fairborn, OH 45324",False,1984,,https://www.apartments.com/emma-apartments-fairborn-oh/2qjbp3c/
1801-1819 North Blvd,,,"1801-1819 North Blvd, Fairborn, OH 45324",False,1969,,https://www.apartments.com/1801-1819-north-blvd-fairborn-oh/qh1l4sz/
Willow Creek,,,"3665 Lilac Ln, Dayton, OH 45431",False,,192,https://www.apartments.com/willow-creek-dayton-oh/jkv2f94/
Emma Apartments,,,"422 W Funderburg Rd, Fairborn, OH 45324",False,1969,,https://www.apartments.com/emma-apartments-fairborn-oh/e1dpl9q/
410 W Funderburg Rd,,,"410 W Funderburg Rd, Fairborn, OH 45324",False,1968,,https://www.apartments.com/410-w-funderburg-rd-fairborn-oh/qgdwd1z/
Stoneybrook Townhouse Apartments,,,"400 W Funderburg Rd, Fairborn, OH 45324",False,1973,24,https://www.apartments.com/stoneybrook-townhouse-apartments-fairborn-oh/nt82cwp/
281-297 W Orville St,,,"281-297 W Orville St, Fairborn, OH 45324",False,1972,22,https://www.apartments.com/281-297-w-orville-st-fairborn-oh/f02pjks/
302 Patterson St,,,"302 Patterson St, Fairborn, OH 45324",False,1970,16,https://www.apartments.com/302-patterson-st-fairborn-oh/nclrren/
320-338 W Grove St,,,"320-338 W Grove St, Fairborn, OH 45324",False,1973,10,https://www.apartments.com/320-338-w-grove-st-fairborn-oh/w1zqg2l/
190 W Funderburg Rd,,,"190 W Funderburg Rd, Fairborn, OH 45324",False,1971,,https://www.apartments.com/190-w-funderburg-rd-fairborn-oh/yl06gws/
1480 Anna St,,,"1480 Anna St, Fairborn, OH 45324",False,1970,10,https://www.apartments.com/1480-anna-st-fairborn-oh/svkmr85/
1505 Superior Ave,,,"1505 Superior Ave, Fairborn, OH 45324",False,,,https://www.apartments.com/1505-superior-ave-fairborn-oh/f984eps/
1419-1429 Superior Ave,,,"1419-1429 Superior Ave, Fairborn, OH 45324",False,1979,,https://www.apartments.com/1419-1429-superior-ave-fairborn-oh/gc7ws8w/
412 Madison St,,,"412 Madison St, Fairborn, OH 45324",False,1985,,https://www.apartments.com/412-madison-st-fairborn-oh/7nes6sx/
Hawthorne Apartments,,,"209 W Dayton Yellow Springs Rd, Fairborn, OH 45324",False,1973,50,https://www.apartments.com/hawthorne-apartments-fairborn-oh/4tf9qjj/
Emma Apartments,,,"1523 Salem Ave, Fairborn, OH 45324",False,1971,10,https://www.apartments.com/emma-apartments-fairborn-oh/9xfr3c6/
1800 Ironwood Dr,,,"1800 Ironwood Dr, Fairborn, OH 45324",False,1961,,https://www.apartments.com/1800-ironwood-dr-fairborn-oh/c5p9tve/
240 Madison Ave,,,"240 Madison Ave, Fairborn, OH 45324",False,1948,,https://www.apartments.com/240-madison-ave-fairborn-oh/4fq3xyl/
145 Tennessee St,,,"145 Tennessee St, Fairborn, OH 45324",False,1972,25,https://www.apartments.com/145-tennessee-st-fairborn-oh/wq4c1hk/
155 Forest St,,,"155 Forest St, Fairborn, OH 45324",False,1983,,https://www.apartments.com/155-forest-st-fairborn-oh/z25hfmw/
Cascades Studio Apts.,,,"1368 Kauffman Ave, Fairborn, OH 45324",False,1986,,https://www.apartments.com/cascades-studio-apts-fairborn-oh/b82lsw8/
225-239 Gilbert Ave,,,"225-239 Gilbert Ave, Fairborn, OH 45324",False,1986,21,https://www.apartments.com/225-239-gilbert-ave-fairborn-oh/v1scseg/
173-187 Madison St,,,"173-187 Madison St, Fairborn, OH 45324",False,1992,16,https://www.apartments.com/173-187-madison-st-fairborn-oh/9w6bmr7/
166-188 Gilbert Ave,,,"166-188 Gilbert Ave, Fairborn, OH 45324",False,1991,25,https://www.apartments.com/166-188-gilbert-ave-fairborn-oh/kpc35w9/
155-169 Madison St,,,"155-169 Madison St, Fairborn, OH 45324",False,1990,,https://www.apartments.com/155-169-madison-st-fairborn-oh/qfvybzy/
253-273 Euclid Ave,,,"253-273 Euclid Ave, Fairborn, OH 45324",False,,,https://www.apartments.com/253-273-euclid-ave-fairborn-oh/c7y9rcd/
Maple Terrace Apartments,,,"1834 S Maple Ave, Fairborn, OH 45324",False,1982,,https://www.apartments.com/maple-terrace-apartments-fairborn-oh/7jzxgxy/
402 Coventry Pl,,,"402 Coventry Pl, Fairborn, OH 45324",False,1972,18,https://www.apartments.com/402-coventry-pl-fairborn-oh/9k9ehn7/
Oak Tree Village,,,"2060 E Dayton Yellow Springs Rd, Fairborn, OH 45324",False,1996,32,https://www.apartments.com/oak-tree-village-fairborn-oh/04ssh30/
565 Park Hills Xing,,,"565 Park Hills Xing, Fairborn, OH 45324",False,2003,20,https://www.apartments.com/565-park-hills-xing-fairborn-oh/xxxysmp/
501 Greene Tree Pl,,,"501 Greene Tree Pl, Fairborn, OH 45324",False,1984,,https://www.apartments.com/501-greene-tree-pl-fairborn-oh/qgm4x2z/
631 Kyle Ln,,,"631 Kyle Ln, Fairborn, OH 45324",False,1987,,https://www.apartments.com/631-kyle-ln-fairborn-oh/fsjtb5r/
640 Winona Dr,,,"640 Winona Dr, Fairborn, OH 45324",False,1998,16,https://www.apartments.com/640-winona-dr-fairborn-oh/p55jg3v/
692 Hidden Valley Ct,,,"692 Hidden Valley Ct, Fairborn, OH 45324",False,1985,,https://www.apartments.com/692-hidden-valley-ct-fairborn-oh/k9j9ksc/
Fairwood Village,,,"1956 N Fairfield Rd, Dayton, OH 45432",False,1988,61,https://www.apartments.com/fairwood-village-dayton-oh/2qd1d2c/
Evergreene Park Apartments,,,"2486 Roseanne Ct, Fairborn, OH 45324",False,1988,86,https://www.apartments.com/evergreene-park-apartments-fairborn-oh/c2mzh3d/
Wright Village Apartments,,,"345 1/2 Lovington Dr, Fairborn, OH 45324",False,1942,104,https://www.apartments.com/wright-village-apartments-fairborn-oh/z1ybm9z/
209-213 W Dayton Dr,,,"209-213 W Dayton Dr, Fairborn, OH 45324",False,,,https://www.apartments.com/209-213-w-dayton-dr-fairborn-oh/kz05498/
201 W Dayton Dr,,,"201 W Dayton Dr, Fairborn, OH 45324",False,1945,,https://www.apartments.com/201-w-dayton-dr-fairborn-oh/tzd0rp8/
202 Clover St,,,"202 Clover St, Fairborn, OH 45324",False,1969,,https://www.apartments.com/202-clover-st-fairborn-oh/bet8w68/
Emma Apartments,,,"703 N 1st St, Fairborn, OH 45324",False,1985,,https://www.apartments.com/emma-apartments-fairborn-oh/rxgqek1/
Emma Apartments,,,"719 Cypress Dr, Fairborn, OH 45324",False,1970,12,https://www.apartments.com/emma-apartments-fairborn-oh/12xhkr4/
37-45 S Wright Ave,,,"37-45 S Wright Ave, Fairborn, OH 45324",False,,,https://www.apartments.com/37-45-s-wright-ave-fairborn-oh/erk3c4m/
34 S Wright Ave,,,"34 S Wright Ave, Fairborn, OH 45324",False,1968,,https://www.apartments.com/34-s-wright-ave-fairborn-oh/k894y9c/
Middle Street Apartments,,,"502 Middle St, Fairborn, OH 45324",False,1943,16,https://www.apartments.com/middle-street-apartments-fairborn-oh/vl3h2cd/
5211-5247 Huberville Ave,,,"5211-5247 Huberville Ave, Dayton, OH 45431",False,1942,10,https://www.apartments.com/5211-5247-huberville-ave-dayton-oh/43h8n3j/
Emma Apartments,,,"123 N 1st St, Fairborn, OH 45324",False,1970,12,https://www.apartments.com/emma-apartments-fairborn-oh/jy9e6w6/
127 N 1st St,,,"127 N 1st St, Fairborn, OH 45324",False,1968,40,https://www.apartments.com/127-n-1st-st-fairborn-oh/g9l3k0y/
Crystal's Corner Apartments,,,"422 Middle St, Fairborn, OH 45324",False,1900,,https://www.apartments.com/crystals-corner-apartments-fairborn-oh/2dsv028/
Mad River Manor,,,"5580 Burkhardt Rd, Dayton, OH 45431",False,1979,74,https://www.apartments.com/mad-river-manor-dayton-oh/61qhqvs/
45 S Maple St,,,"45 S Maple St, Fairborn, OH 45324",False,1920,,https://www.apartments.com/45-s-maple-st-fairborn-oh/nf72p2q/
701 W Xenia Dr,,,"701 W Xenia Dr, Fairborn, OH 45324",False,1966,10,https://www.apartments.com/701-w-xenia-dr-fairborn-oh/l4rh88f/
401 Elder Dr,,,"401 Elder Dr, Fairborn, OH 45324",False,1965,,https://www.apartments.com/401-elder-dr-fairborn-oh/7m7y8ty/
509 Cedar Dr,,,"509 Cedar Dr, Fairborn, OH 45324",False,1967,,https://www.apartments.com/509-cedar-dr-fairborn-oh/hwvs6f0/
406 Cedar Dr,,,"406 Cedar Dr, Fairborn, OH 45324",False,1961,,https://www.apartments.com/406-cedar-dr-fairborn-oh/he7bf73/
312 W Xenia Dr,,,"312 W Xenia Dr, Fairborn, OH 45324",False,1940,15,https://www.apartments.com/312-w-xenia-dr-fairborn-oh/85nh2w3/
400 W Xenia Dr,,,"400 W Xenia Dr, Fairborn, OH 45324",False,1850,,https://www.apartments.com/400-w-xenia-dr-fairborn-oh/bvef3r9/
109-111 E Main St,,,"109-111 E Main St, Fairborn, OH 45324",False,1900,,https://www.apartments.com/109-111-e-main-st-fairborn-oh/t4zmes9/
208-214 E Main St,,,"208-214 E Main St, Fairborn, OH 45324",False,1988,,https://www.apartments.com/208-214-e-main-st-fairborn-oh/xxd7vpn/
625 Koogler St,,,"625 Koogler St, Fairborn, OH 45324",False,1975,,https://www.apartments.com/625-koogler-st-fairborn-oh/6z8tcmv/
315 W Xenia Dr,,,"315 W Xenia Dr, Fairborn, OH 45324",False,1981,,https://www.apartments.com/315-w-xenia-dr-fairborn-oh/wrf0jjh/
Manor House,,,"230 N Broad St, Fairborn, OH 45324",False,1968,,https://www.apartments.com/manor-house-fairborn-oh/94vwt04/
Charles Apartments,,,"619-621 Koogler St, Fairborn, OH 45324",False,1969,24,https://www.apartments.com/charles-apartments-fairborn-oh/8zqqfb1/
217 Ash Dr,,,"217 Ash Dr, Fairborn, OH 45324",False,1970,16,https://www.apartments.com/217-ash-dr-fairborn-oh/ft9pnps/
105 Maple Ave,,,"105 Maple Ave, Fairborn, OH 45324",False,1970,,https://www.apartments.com/105-maple-ave-fairborn-oh/98rj8p7/
Fairborn Senior Apartments,,,"221 N Central Ave, Fairborn, OH 45324",False,1930,84,https://www.apartments.com/fairborn-senior-apartments-fairborn-oh/fmkg9ht/
219-237 E Xenia Dr,,,"219-237 E Xenia Dr, Fairborn, OH 45324",False,1950,17,https://www.apartments.com/219-237-e-xenia-dr-fairborn-oh/8z57gf0/
362 N Broad St,,,"362 N Broad St, Fairborn, OH 45324",False,1925,,https://www.apartments.com/362-n-broad-st-fairborn-oh/llq6rmd/
341-395 N 3rd St,,,"341-395 N 3rd St, Fairborn, OH 45324",False,2000,12,https://www.apartments.com/341-395-n-3rd-st-fairborn-oh/kcj5ebc/
Misty Creek,,,"2275 Pinnacle Ct, Fairborn, OH 45324",False,1990,180,https://www.apartments.com/misty-creek-fairborn-oh/879wwq2/
328 N Maple Ave,,,"328 N Maple Ave, Fairborn, OH 45324",False,,,https://www.apartments.com/328-n-maple-ave-fairborn-oh/kkz4s79/
Crown Village,,,"3448 Valley St, Dayton, OH 45424",False,,100,https://www.apartments.com/crown-village-dayton-oh/jnl1kr6/
Whittier Woods,,,"49 W Whittier Ave, Fairborn, OH 45324",False,2003,45,https://www.apartments.com/whittier-woods-fairborn-oh/z5pkg2y/
513 N Broad St,,,"513 N Broad St, Fairborn, OH 45324",False,1983,30,https://www.apartments.com/513-n-broad-st-fairborn-oh/2chwf09/
Glendean Arms,,,"905 Glendean Ave, Riverside, OH 45431",False,1971,12,https://www.apartments.com/glendean-arms-riverside-oh/2pd0fk9/
Amy Apartments,,,"4880 Springfield St, Dayton, OH 45431",False,1970,48,https://www.apartments.com/amy-apartments-dayton-oh/9thv925/
Northcliff Square,,,"4829 Northcliff Dr, Dayton, OH 45431",False,1970,22,https://www.apartments.com/northcliff-square-dayton-oh/j67l3q4/
Northcliff Square Apartments,,,"4829-4837 Northcliff Dr, Dayton, OH 45431",False,1970,20,https://www.apartments.com/northcliff-square-apartments-dayton-oh/l6j3qdg/
4414-4416 Eastman Ave,,,"4414-4416 Eastman Ave, Dayton, OH 45432",False,1973,,https://www.apartments.com/4414-4416-eastman-ave-dayton-oh/8fnmnw1/
Penn Garden,,,"1231 Spinning Rd, Dayton, OH 45432",False,1967,87,https://www.apartments.com/penn-garden-dayton-oh/793qlly/
4240-4242 Arrowrock Ave,,,"4240-4242 Arrowrock Ave, Dayton, OH 45424",False,1972,,https://www.apartments.com/4240-4242-arrowrock-ave-dayton-oh/50hv2mq/
McMahan's Mobile Home Park,,,"2712 Valley Pike, Dayton, OH 45404",False,1947,100,https://www.apartments.com/mcmahans-mobile-home-park-dayton-oh/yjg9e7s/
660 Adams St,,,"660 Adams St, Fairborn, OH 45324",False,1951,,https://www.apartments.com/660-adams-st-fairborn-oh/vhgg93g/
4230-4232 Arrowrock Ave,,,"4230-4232 Arrowrock Ave, Dayton, OH 45424",False,1974,,https://www.apartments.com/4230-4232-arrowrock-ave-dayton-oh/eksp44n/
4220-4222 Arrowrock Ave,,,"4220-4222 Arrowrock Ave, Dayton, OH 45424",False,1974,,https://www.apartments.com/4220-4222-arrowrock-ave-dayton-oh/7medvbx/
1750-1754 Radio Rd,,,"1750-1754 Radio Rd, Dayton, OH 45403",False,1960,,https://www.apartments.com/1750-1754-radio-rd-dayton-oh/dcf0xrk/
437 Briarwood Ave,,,"437 Briarwood Ave, Dayton, OH 45403",False,1970,33,https://www.apartments.com/437-briarwood-ave-dayton-oh/hc9y9d1/
321 N Smithville Rd,,,"321 N Smithville Rd, Dayton, OH 45431",False,1960,,https://www.apartments.com/321-n-smithville-rd-dayton-oh/4delybl/
423 Briarwood Ave,,,"423 Briarwood Ave, Dayton, OH 45403",False,1972,10,https://www.apartments.com/423-briarwood-ave-dayton-oh/pemnr1t/
Quinby Lane Apartments,,,"29 Quinby Ln, Dayton, OH 45432",False,1970,,https://www.apartments.com/quinby-lane-apartments-dayton-oh/53cn12q/
1742-1746 Radio Rd,,,"1742-1746 Radio Rd, Dayton, OH 45403",False,1960,,https://www.apartments.com/1742-1746-radio-rd-dayton-oh/kc7ekx9/
413 Briarwood Ave,,,"413 Briarwood Ave, Dayton, OH 45403",False,1969,,https://www.apartments.com/413-briarwood-ave-dayton-oh/27z968c/
27 Quinby Ln,,,"27 Quinby Ln, Dayton, OH 45432",False,1970,,https://www.apartments.com/27-quinby-ln-dayton-oh/xn0649p/
Plateau Terrace II,,,"1721 Radio Rd, Dayton, OH 45403",False,1964,10,https://www.apartments.com/plateau-terrace-ii-dayton-oh/h00cbg1/
1734 Radio Rd,,,"1734 Radio Rd, Dayton, OH 45403",False,1963,,https://www.apartments.com/1734-radio-rd-dayton-oh/1zzzzs4/
317 N Smithville Rd,,,"317 N Smithville Rd, Dayton, OH 45431",False,1963,,https://www.apartments.com/317-n-smithville-rd-dayton-oh/yj3qdbs/
1728 Radio Rd,,,"1728 Radio Rd, Dayton, OH 45403",False,1963,,https://www.apartments.com/1728-radio-rd-dayton-oh/3y3h3de/
1718 Radio Rd,,,"1718 Radio Rd, Dayton, OH 45403",False,1960,39,https://www.apartments.com/1718-radio-rd-dayton-oh/fjj1bys/
Terrace View Apartments,,,"307-309 N Smithville Rd, Dayton, OH 45431",False,1966,12,https://www.apartments.com/terrace-view-apartments-dayton-oh/1zrzrh5/
1707 Radio Rd,,,"1707 Radio Rd, Dayton, OH 45403",False,1964,10,https://www.apartments.com/1707-radio-rd-dayton-oh/zrnn7pw/
4290 Linden Ave,,,"4290 Linden Ave, Dayton, OH 45432",False,1969,12,https://www.apartments.com/4290-linden-ave-dayton-oh/p1585vt/
1712 Radio Rd,,,"1712 Radio Rd, Dayton, OH 45403",False,1964,,https://www.apartments.com/1712-radio-rd-dayton-oh/wqqqn0j/
1501-1503 Rausch Ave,,,"1501-1503 Rausch Ave, Beavercreek, OH 45432",False,1971,,https://www.apartments.com/1501-1503-rausch-ave-beavercreek-oh/yergdyr/
Blackwood Apartments,,,"334 Blackwood Ave, Dayton, OH 45403",False,1965,12,https://www.apartments.com/blackwood-apartments-dayton-oh/36lkdpg/
259 N Smithville Rd,,,"259 N Smithville Rd, Dayton, OH 45403",False,1963,,https://www.apartments.com/259-n-smithville-rd-dayton-oh/46xgcbl/
1613 Radio Rd,,,"1613 Radio Rd, Dayton, OH 45403",False,1963,,https://www.apartments.com/1613-radio-rd-dayton-oh/vvb2rye/
1515-1517 Rausch Ave,,,"1515-1517 Rausch Ave, Dayton, OH 45432",False,1971,,https://www.apartments.com/1515-1517-rausch-ave-dayton-oh/w2ed8pj/
1718 Rangeley Ave,,,"1718 Rangeley Ave, Dayton, OH 45403",False,1964,,https://www.apartments.com/1718-rangeley-ave-dayton-oh/3de1jbe/
251 N Smithville Rd,,,"251 N Smithville Rd, Dayton, OH 45403",False,1964,,https://www.apartments.com/251-n-smithville-rd-dayton-oh/ggn1eqy/
Burkhardt Valley Apartments,,,"4644 Burkhardt Ave, Dayton, OH 45431",True,1969,35,https://www.apartments.com/burkhardt-valley-apartments-dayton-oh/2hrmck9/
1616 Radio Rd,,,"1616 Radio Rd, Dayton, OH 45403",False,,,https://www.apartments.com/1616-radio-rd-dayton-oh/x48qdgn/
420 Cherrywood Ave,,,"420 Cherrywood Ave, Dayton, OH 45403",False,,12,https://www.apartments.com/420-cherrywood-ave-dayton-oh/nqdcq4p/
